UniqueCount	AmbigCount
44	0
315	0
57	11
134	0
63	0
115	6
133	0
22	0
389	0
8	0
270	0
37	0
29	0
57	0
50	0
9	2
23	0
0	22
75	77
75	0
32	3
7	5
418	105
46	0
3	0
0	1
96	0
0	7
3	1
96	0
39	0
0	20
6	31
0	3983
55	0
44	0
17	1
21	0
4	0
84	0
504	10
2	31
172	0
25	0
49	0
20	0
45	0
2021	362
12	1
19	0
38	40
48	0
77	0
10	38
190	0
11	0
23	0
2	9
108	0
203	0
61	0
319	27
200	0
133	0
29	0
6	15
29	0
61	0
74	0
783	44
3	18
64	0
357	0
1023	0
18	51
17	0
0	0
84	0
103	0
193	1491
433	0
91	15
11	0
0	0
272	0
255	0
14	0
18	3
0	919
53	89
70	0
53	19
14	0
91	0
97	0
22	0
5	124
27	904
22	0
55	0
95	0
0	0
57	0
398	515
88	0
18	0
0	5
44	0
28	0
36	0
228	0
48	40
27	0
12	15
24	0
24	0
443	0
13	0
8	6
57	0
245	0
219	0
0	2146
812	83
49	107
35	0
157	2
124	0
87	0
95	0
120	0
63	0
1	0
16	0
91	245
45	0
105	0
124	0
151	0
89	0
95	0
17	4
161	0
267	5
425	0
120	0
8	102
34	36
143	0
96	0
50	3
66	0
9	0
182	0
97	139
8	29
57	4
92	0
88	0
40	0
4	0
2	0
6445	0
145	0
382	0
126	0
37	0
110	0
27	0
52	0
0	54
276	0
59	0
24	0
37	0
269	0
385	0
55	0
69	0
21	18
97	13
36	0
27	0
0	7
77	0
32	0
29	17
221	0
34	0
34	0
667	0
74	11
175	0
25	6
83	0
1263	0
836	0
37	0
237	0
122	0
15	0
238	0
31	0
52	0
40	0
105	0
116	0
197	0
49	0
0	3466
383	0
32	0
192	0
78	0
35	0
159	0
19	0
111	0
67	0
1	35
32	0
3	0
1073	0
0	0
8	8
1325	0
30	0
41	0
225	0
476	0
25	0
29	0
63	0
290	0
90	0
37	0
149	0
63	0
2	2
183	0
39	0
23	0
0	167
12	0
16	0
98	0
509	104
250	0
60	0
229	20
2	8
307	50
183	0
26	0
99	0
210	0
248	0
113	0
133	0
60	2
6	40
30	0
34	0
264	0
208	0
26	0
68	0
27	0
57	0
76	0
32	0
0	282
104	0
95	0
15	0
509	0
75	0
0	5
70	0
320	0
80	0
19	0
53	248
0	6674
17	1
32	0
76	0
96	0
27	0
99	0
495	0
383	0
28	0
18	0
60	7
0	11
33	0
277	0
1445	0
3	0
291	0
9	0
155	0
91	0
100	0
3	15
203	640
507	0
13	27
676	463
25	0
35	0
2	0
0	0
49	0
52	0
46	0
772	0
1	0
39	0
1	0
310	120
4	0
39	0
302	0
0	4
75	0
2	0
32	0
27	0
64	22
201	0
29	0
13	0
17	0
63	0
69	0
164	0
40	0
54	0
247	0
28	0
133	0
126	0
65	0
14	0
44	0
19	0
9	0
75	0
8	0
1	2
0	11
98	6
0	1
23	0
0	19
97	0
200	0
47	0
570	0
59	0
54	19
178	119
30	0
0	0
24	0
31	0
44	0
4	3
25	0
69	0
293	0
96	0
32	0
103	0
92	24
33	0
58	0
75	0
23	0
34	2
132	0
390	0
188	29
97	0
0	2
39	0
8	0
370	0
10	0
0	11
53	0
18	0
119	0
8	0
474	0
26	0
37	23
164	0
54	0
44	0
25	0
679	0
89	0
198	0
0	0
367	13
86	0
710	0
0	0
35	0
28	0
22	0
75	0
12	0
150	4
123	0
36	0
87	0
14	226
9	36
236	0
4	0
556	0
206	0
76	0
305	0
0	5
240	0
34	0
129	181
60	0
37	0
264	0
118	0
215	0
529	1
422	0
3	14
37	0
14	0
3	22
1	0
46	0
150	0
122	0
170	0
442	0
3	16
89	0
107	0
1	2
0	0
143	0
3	0
269	0
53	0
147	0
76	0
18	0
41	0
208	0
12	0
22	0
0	0
70	0
76	0
147	0
0	0
312	0
8	17
19	0
116	0
0	25
480	0
39	0
48	0
46	0
8	0
0	12
29	0
25	0
338	0
9	323
46	0
23	0
27	0
77	0
109	0
0	8965
114	24
31	16
2	0
103	0
2	12
52	0
43	0
431	0
127	0
59	0
121	0
25	0
54	0
1	0
36	0
9	1
100	0
119	0
49	0
283	0
6	0
30	44
15	27
131	0
4	1
129	0
187	0
0	25
0	13
34	0
150	7
145	0
14	0
38	0
137	0
2	0
68	0
41	0
609	0
832	0
570	43
177	0
29	0
161	0
182	0
0	0
81	0
36	134
206	0
108	35
0	11
86	0
14	0
0	0
58	0
27	0
117	0
43	0
117	0
0	0
2	0
161	1
0	0
82	0
464	0
223	74
93	8
63	0
133	5
18	25
1	0
23	0
171	0
0	0
43	18
47	0
44	33
1	0
6614	6
145	0
2351	0
142	0
114	0
38	119
225	0
37	0
91	0
116	0
60	0
90	17
1	0
142	0
73	5
198	0
264	8
150	0
61	0
2	0
28	0
76	0
57	0
86	0
699	0
13	0
59	0
420	0
60	0
19	0
135	0
0	29
408	0
2	0
164	0
116	0
185	0
7	0
4	9
62	0
22	24
131	5
17	0
43	36
193	0
48	0
310	0
27	0
72	0
112	20
38	9
118	0
45	0
109	0
236	0
39	0
7	0
54	0
114	0
154	48
25	0
65	18
111	0
34	0
5188	0
0	10
321	0
46	0
42	0
19	0
70	0
24	0
156	0
16	0
53	0
9	0
49	0
40	0
109	0
11	5
0	0
15	0
43	0
196	0
75	0
56	0
9	0
1	16
286	0
9	53
54	0
55	0
209	0
116	70
369	0
55	9
70	0
191	0
0	807
392	0
95	0
115	0
6	0
105	0
4	0
100	0
64	0
23	0
4	1
726	3
471	0
58	0
156	0
114	0
1330	0
44	0
0	0
149	0
4	0
7	10
98	0
472	0
2	10
69	0
136	0
25	0
263	0
131	0
20	465
23	0
483	0
84	0
25	2
60	0
175	0
26	0
50	18
505	0
45	0
40	0
0	12
0	6
75	8
4	6
114	35
212	0
250	2
14	20
7	0
3	1
1	0
66	0
49	0
40	0
11	0
0	945
62	0
221	0
69	0
133	0
91	308
46	0
494	0
714	0
59	0
73	0
151	5
26	0
66	0
24	0
67	139
23	0
163	15
61	2
158	0
517	0
46	0
